Node_Index,Node_ID,Cluster_Label
0,J04030201020700699052,0
1,J04030201020700699053,0
2,J04030201020700699055,0
3,J04030201020700699056,0
4,J04030201020700699057,0
5,J04030201020700699058,0
6,J04030201020700699059,0
7,J04030201020700699060,0
8,J04030201020700699061,0
9,J04030201020700699062,0
10,J04030201020700699063,8
11,J04030201020700699093,8
12,J04030201020700699094,8
13,J04030201020700699095,1
14,J04030201020700699096,8
15,J04030201020700699097,1
16,J04030201020700699098,8
17,J04030201020700699099,2
18,J04030201020700699101,2
19,J04030201020700699102,8
20,J04030201020700699103,8
21,J04030201020700699104,4
22,J04030201020700699105,1
23,J04030201020700699106,1
24,J04030201020700699107,1
25,J04030201020700699111,5
26,J04030201020700699112,1
27,J04030201020700699113,3
28,J04030201020700699114,4
29,J04030201020700699115,0
30,J04030201020700699116,0
31,J04030201020700699117,0
32,J04030201020700699118,0
33,J04030201020700699119,0
34,J04030201020700699120,0
35,J04030201020700699121,0
36,J04030201020700699122,0
37,J04030201020700699123,6
38,J04030201020700699126,6
39,J04030201020700699127,0
40,J04030201020700699128,4
41,J04030201020700699129,4
42,J04030201020700699130,4
43,J04030201020700699131,4
44,J04030201020700699132,4
45,J04030201020700699133,4
46,J04030201020700699134,4
47,J04030201020700699135,3
48,J04030201020700699136,4
49,J04030201020700699137,4
50,J04030201020700699138,1
51,J04030201020700699141,0
52,J04030201020700699142,0
53,J04030201020700699143,0
54,J04030201020700699144,0
55,J04030201020700699145,0
56,J04030201020700699146,0
57,J04030201020700699147,0
58,J04030201020700699148,0
59,J04030201020700699149,0
60,J04030201020700699150,0
61,J04030201020700699152,0
62,J04030201020700699153,0
63,J04030201020700699154,0
64,J04030201020700699156,0
65,J04030201020700699162,0
66,J04030201020700699164,0
67,J04030201020700699165,6
68,J04030201020700699166,6
69,J04030201020700699167,6
70,J04030201020700699168,6
71,J04030201020700699169,6
72,J04030201020700699170,6
73,J04030201020700699171,6
74,J04030201020700699172,6
75,J04030201020700699173,0
76,J04030201020700699174,3
77,J04030201020700699175,0
78,J04030201020700699176,0
79,J04030201020700699177,0
80,J04030201020700699179,6
81,J04030201020700699180,6
82,J04030201020700699182,6
83,J04030201020700699183,6
84,J04030201020700699184,0
85,J04030201020700699185,6
86,J04030201020700699187,6
87,J04030201020700699189,6
88,J04030201020700699194,6
89,J04030201020700699285,0
90,J04030201020700699286,0
